Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Type of product,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,63.132137
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,63.132137
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,60.195759
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,55.138662
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,56.443719
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,64.600326
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,63.132137
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,62.805873
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,65.742251
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,"Meat and meat products in meat equivalent, including bacon and offal",Percent,69.168026
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Milk and dairy products in milk equivalent,Percent,106.2
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Milk and dairy products in milk equivalent,Percent,106.5
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Milk and dairy products in milk equivalent,Percent,105.75
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Milk and dairy products in milk equivalent,Percent,107.5
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Milk and dairy products in milk equivalent,Percent,107.8
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Milk and dairy products in milk equivalent,Percent,113.15
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Milk and dairy products in milk equivalent,Percent,112.25
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Milk and dairy products in milk equivalent,Percent,111.65
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Milk and dairy products in milk equivalent,Percent,109.4
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Milk and dairy products in milk equivalent,Percent,109.85
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Eggs,Percent,43.506849
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Eggs,Percent,45.041096
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Eggs,Percent,44.273973
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Eggs,Percent,45.479452
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Eggs,Percent,44.767123
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Eggs,Percent,47.287671
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Eggs,Percent,43.835616
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Eggs,Percent,47.123288
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Eggs,Percent,47.342466
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Eggs,Percent,52.219178
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Sugar,Percent,83.203125
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Sugar,Percent,83.59375
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Sugar,Percent,78.125
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Sugar,Percent,82.03125
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Sugar,Percent,76.953125
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Sugar,Percent,71.875
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Sugar,Percent,85.9375
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Sugar,Percent,89.0625
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Sugar,Percent,115.234375
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Sugar,Percent,98.4375
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetable oils,Percent,131.393493
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetable oils,Percent,129.24425
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetable oils,Percent,118.291347
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetable oils,Percent,136.911281
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetable oils,Percent,139.101862
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetable oils,Percent,140.197152
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetable oils,Percent,116.100767
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetable oils,Percent,112.814896
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetable oils,Percent,104.052574
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetable oils,Percent,106.243154
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Potatoes,Percent,98.181818
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Potatoes,Percent,99.494949
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Potatoes,Percent,99.393939
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Potatoes,Percent,99.494949
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Potatoes,Percent,99.494949
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Potatoes,Percent,108.282828
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Potatoes,Percent,108.282828
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Potatoes,Percent,107.7
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Potatoes,Percent,141.4
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Potatoes,Percent,125.557809
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetables and gourds,Percent,131.3
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetables and gourds,Percent,131.2
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetables and gourds,Percent,131.052632
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetables and gourds,Percent,130.701754
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetables and gourds,Percent,131.578947
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetables and gourds,Percent,139.473684
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetables and gourds,Percent,141.403509
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetables and gourds,Percent,153.0
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetables and gourds,Percent,159.3
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Vegetables and gourds,Percent,140.244969
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fruits and berries,Percent,24.193548
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fruits and berries,Percent,23.225806
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fruits and berries,Percent,19.274194
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fruits and berries,Percent,21.612903
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fruits and berries,Percent,23.467742
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fruits and berries,Percent,25.16129
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fruits and berries,Percent,34.919355
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fruits and berries,Percent,34.5
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fruits and berries,Percent,27.0
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fruits and berries,Percent,34.195635
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Wheat and wheat products in flour equivalent,Percent,146.666259
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Wheat and wheat products in flour equivalent,Percent,146.492793
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Wheat and wheat products in flour equivalent,Percent,145.712192
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Wheat and wheat products in flour equivalent,Percent,147.44686
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Wheat and wheat products in flour equivalent,Percent,147.44686
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Wheat and wheat products in flour equivalent,Percent,146.579526
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Wheat and wheat products in flour equivalent,Percent,143.659907
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Wheat and wheat products in flour equivalent,Percent,129.855851
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Wheat and wheat products in flour equivalent,Percent,99.071586
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Wheat and wheat products in flour equivalent,Percent,96.994869
2010,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fish and fish products,Percent,16.483516
2011,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fish and fish products,Percent,20.879121
2012,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fish and fish products,Percent,20.879121
2013,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fish and fish products,Percent,20.879121
2014,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fish and fish products,Percent,20.879121
2015,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fish and fish products,Percent,20.879121
2016,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fish and fish products,Percent,9.602909
2017,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fish and fish products,Percent,9.89011
2018,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fish and fish products,Percent,8.791209
2019,Normal value,Units,Country Data,Annual,National,"Average per capita consumption of basic food products in relation to the average physiological norms of consumption, in%",Kyrgyzstan,Fish and fish products,Percent,6.593407
